Run Model Entity Position Sim
3 2 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 31 0.85
3 2 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 7 0.922
4 2 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 4 0.943
4 2 en.wikipedia.org/wiki..Themistocles.txt 24 0.872
4 2 en.wikipedia.org/wiki..Thespiae.txt 209 0.656
4 2 en.wikipedia.org/wiki..Sparta.txt 190 0.677
4 2 en.wikipedia.org/wiki..Battle_of_Marathon.txt 10 0.93
4 2 en.wikipedia.org/wiki..Darius_I.txt 70 0.804
4 2 en.wikipedia.org/wiki..Leonidas_I.txt 11 0.92
4 2 en.wikipedia.org/wiki..Xerxes_I.txt 28 0.865
4 2 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 33 0.858
4 2 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 6 0.936
5 2 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 3 0.937
5 2 en.wikipedia.org/wiki..Themistocles.txt 41 0.85
5 2 en.wikipedia.org/wiki..Thespiae.txt 232 0.625
5 2 en.wikipedia.org/wiki..Sparta.txt 192 0.666
5 2 en.wikipedia.org/wiki..Battle_of_Marathon.txt 5 0.929
5 2 en.wikipedia.org/wiki..Darius_I.txt 71 0.801
5 2 en.wikipedia.org/wiki..Leonidas_I.txt 12 0.9
5 2 en.wikipedia.org/wiki..Xerxes_I.txt 26 0.866
5 2 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 38 0.852
5 2 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 8 0.92
6 2 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 9 0.924
6 2 en.wikipedia.org/wiki..Themistocles.txt 26 0.854
6 2 en.wikipedia.org/wiki..Thespiae.txt 157 0.695
6 2 en.wikipedia.org/wiki..Sparta.txt 189 0.666
6 2 en.wikipedia.org/wiki..Battle_of_Marathon.txt 6 0.93
6 2 en.wikipedia.org/wiki..Darius_I.txt 74 0.787
6 2 en.wikipedia.org/wiki..Leonidas_I.txt 11 0.913
6 2 en.wikipedia.org/wiki..Xerxes_I.txt 21 0.879
6 2 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 39 0.837
6 2 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 8 0.925
1 3 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 1 0.942
1 3 en.wikipedia.org/wiki..Themistocles.txt 44 0.842
1 3 en.wikipedia.org/wiki..Thespiae.txt 141 0.743
1 3 en.wikipedia.org/wiki..Sparta.txt 254 0.64
1 3 en.wikipedia.org/wiki..Battle_of_Marathon.txt 8 0.918
1 3 en.wikipedia.org/wiki..Darius_I.txt 112 0.774
1 3 en.wikipedia.org/wiki..Leonidas_I.txt 11 0.9
1 3 en.wikipedia.org/wiki..Xerxes_I.txt 35 0.855
1 3 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 42 0.846
1 3 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 12 0.899
2 3 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 3 0.953
2 3 en.wikipedia.org/wiki..Themistocles.txt 31 0.873
2 3 en.wikipedia.org/wiki..Thespiae.txt 202 0.686
2 3 en.wikipedia.org/wiki..Sparta.txt 249 0.651
2 3 en.wikipedia.org/wiki..Battle_of_Marathon.txt 7 0.94
2 3 en.wikipedia.org/wiki..Darius_I.txt 68 0.822
2 3 en.wikipedia.org/wiki..Leonidas_I.txt 20 0.892
2 3 en.wikipedia.org/wiki..Xerxes_I.txt 24 0.889
2 3 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 44 0.859
2 3 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 10 0.933
3 3 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 3 0.931
3 3 en.wikipedia.org/wiki..Themistocles.txt 46 0.846
3 3 en.wikipedia.org/wiki..Thespiae.txt 146 0.726
3 3 en.wikipedia.org/wiki..Sparta.txt 207 0.668
3 3 en.wikipedia.org/wiki..Battle_of_Marathon.txt 4 0.929
3 3 en.wikipedia.org/wiki..Darius_I.txt 65 0.822
3 3 en.wikipedia.org/wiki..Leonidas_I.txt 11 0.906
3 3 en.wikipedia.org/wiki..Xerxes_I.txt 28 0.868
3 3 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 39 0.856
3 3 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 10 0.913
4 3 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 6 0.932
4 3 en.wikipedia.org/wiki..Themistocles.txt 44 0.85
4 3 en.wikipedia.org/wiki..Thespiae.txt 133 0.747
4 3 en.wikipedia.org/wiki..Sparta.txt 246 0.638
4 3 en.wikipedia.org/wiki..Battle_of_Marathon.txt 13 0.915
4 3 en.wikipedia.org/wiki..Darius_I.txt 78 0.805
4 3 en.wikipedia.org/wiki..Leonidas_I.txt 15 0.897
4 3 en.wikipedia.org/wiki..Xerxes_I.txt 21 0.88
4 3 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 46 0.847
4 3 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 9 0.924
5 3 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 4 0.903
5 3 en.wikipedia.org/wiki..Themistocles.txt 86 0.778
5 3 en.wikipedia.org/wiki..Thespiae.txt 158 0.705
5 3 en.wikipedia.org/wiki..Sparta.txt 260 0.62
5 3 en.wikipedia.org/wiki..Battle_of_Marathon.txt 3 0.909
5 3 en.wikipedia.org/wiki..Darius_I.txt 108 0.754
5 3 en.wikipedia.org/wiki..Leonidas_I.txt 10 0.878
5 3 en.wikipedia.org/wiki..Xerxes_I.txt 20 0.86
5 3 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 36 0.841
5 3 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 9 0.885
6 3 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 4 0.929
6 3 en.wikipedia.org/wiki..Themistocles.txt 61 0.829
6 3 en.wikipedia.org/wiki..Thespiae.txt 230 0.663
6 3 en.wikipedia.org/wiki..Sparta.txt 235 0.658
6 3 en.wikipedia.org/wiki..Battle_of_Marathon.txt 3 0.931
6 3 en.wikipedia.org/wiki..Darius_I.txt 74 0.81
6 3 en.wikipedia.org/wiki..Leonidas_I.txt 12 0.895
6 3 en.wikipedia.org/wiki..Xerxes_I.txt 40 0.849
6 3 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 45 0.843
6 3 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 11 0.904
1 4 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 2 0.923
1 4 en.wikipedia.org/wiki..Themistocles.txt 60 0.818
1 4 en.wikipedia.org/wiki..Thespiae.txt 91 0.795
1 4 en.wikipedia.org/wiki..Sparta.txt 236 0.657
1 4 en.wikipedia.org/wiki..Battle_of_Marathon.txt 13 0.884
1 4 en.wikipedia.org/wiki..Darius_I.txt 142 0.74
1 4 en.wikipedia.org/wiki..Leonidas_I.txt 12 0.887
1 4 en.wikipedia.org/wiki..Xerxes_I.txt 47 0.834
1 4 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 30 0.86
1 4 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 26 0.862
2 4 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 5 0.928
2 4 en.wikipedia.org/wiki..Themistocles.txt 44 0.861
2 4 en.wikipedia.org/wiki..Thespiae.txt 166 0.737
2 4 en.wikipedia.org/wiki..Sparta.txt 214 0.699
2 4 en.wikipedia.org/wiki..Battle_of_Marathon.txt 7 0.926
2 4 en.wikipedia.org/wiki..Darius_I.txt 66 0.834
2 4 en.wikipedia.org/wiki..Leonidas_I.txt 17 0.903
2 4 en.wikipedia.org/wiki..Xerxes_I.txt 34 0.872
2 4 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 35 0.87
2 4 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 10 0.912
3 4 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 7 0.94
3 4 en.wikipedia.org/wiki..Themistocles.txt 48 0.861
3 4 en.wikipedia.org/wiki..Thespiae.txt 171 0.737
3 4 en.wikipedia.org/wiki..Sparta.txt 217 0.692
3 4 en.wikipedia.org/wiki..Battle_of_Marathon.txt 6 0.944
3 4 en.wikipedia.org/wiki..Darius_I.txt 83 0.818
3 4 en.wikipedia.org/wiki..Leonidas_I.txt 22 0.894
3 4 en.wikipedia.org/wiki..Xerxes_I.txt 43 0.865
3 4 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 41 0.868
3 4 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 8 0.926
4 4 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 8 0.919
4 4 en.wikipedia.org/wiki..Themistocles.txt 38 0.866
4 4 en.wikipedia.org/wiki..Thespiae.txt 187 0.706
4 4 en.wikipedia.org/wiki..Sparta.txt 333 0.58
4 4 en.wikipedia.org/wiki..Battle_of_Marathon.txt 6 0.928
4 4 en.wikipedia.org/wiki..Darius_I.txt 63 0.84
4 4 en.wikipedia.org/wiki..Leonidas_I.txt 27 0.875
4 4 en.wikipedia.org/wiki..Xerxes_I.txt 40 0.862
4 4 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 51 0.847
4 4 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 11 0.907
5 4 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 9 0.93
5 4 en.wikipedia.org/wiki..Themistocles.txt 46 0.859
5 4 en.wikipedia.org/wiki..Thespiae.txt 128 0.77
5 4 en.wikipedia.org/wiki..Sparta.txt 186 0.718
5 4 en.wikipedia.org/wiki..Battle_of_Marathon.txt 6 0.937
5 4 en.wikipedia.org/wiki..Darius_I.txt 85 0.817
5 4 en.wikipedia.org/wiki..Leonidas_I.txt 20 0.892
5 4 en.wikipedia.org/wiki..Xerxes_I.txt 37 0.868
5 4 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 27 0.885
5 4 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 10 0.93
6 4 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 4 0.936
